ITEM CODE,UNITS ,PRICE,SALES ,COMMISSION,GRADE,,Sales ,Commission,,,
100,1000,5.5,,,,,Less than 1000,No commission,,,
101,1200,6.75,,,,,1000 to 5000,2% of sales,,,
102,1300,2,,,,,Above 5000,5% of sales,,,
103,800,4,,,,,,,,,
104,1200,5,,,,,,,,,
105,1800,0.5,,,,,Sales ,Grade ,,,
106,145,2,,,,,Less than 1000,POOR,,,
107,1900,3.5,,,,,1000 to 5000,GOOD,,,
108,1550,2.25,,,,,Above 5000,EXCELLENT,,,
109,2000,2,,,,,,,,,
110,2200,3,,,,,,,,,
,,,,,,,,,,,
TOTAL SALES,,,,,,,,,,,
HIGHEST SALE VALUE ,,,,,,,,,,,
LOWEST SALE VALUE,,,,,,,,,,,
AVERAGE SALE VALUE ,,,,,,,,,,,
COUNT OF EXCELLENT,,,,,,,,,,,
COUNT OF GOOD,,,,,,,,,,,
COUNT OF POOR,,,,, ,,,,,,
,,,,,,,,,,,
